instrument_id,price,is_buy,signal_mask,send_time_ns
3,150.66596,1,4,599031517786583
4,150.26610,1,4,599031517788291
5,149.62489,0,4,599031517788333
6,148.53437,0,4,599031517788333
7,151.16790,1,4,599031517788375
8,148.91948,0,4,599031517788375
0,150.44209,1,4,599031517788458
1,149.24145,1,4,599031517788458
4,150.60469,1,4,599031517788500
7,151.80205,1,4,599031517788583
9,149.76785,0,4,599031517788625
1,149.69454,1,4,599031517788750
4,150.66074,1,4,599031517788791
5,150.32038,1,4,599031517788833
6,149.59493,1,4,599031517788833
7,152.25490,1,4,599031517788875
8,149.64667,1,4,599031517788875
9,149.76338,0,4,599031517788916
0,149.39985,0,4,599031517788958
1,149.92274,1,4,599031517788958
5,150.68790,1,4,599031517789041
6,149.63956,1,4,599031517789083
9,149.22668,0,4,599031517789125
0,148.90231,0,4,599031517789166
1,150.64263,1,4,599031517789166
2,150.34950,0,4,599031517789208
5,151.16166,1,4,599031517789291
7,151.11984,0,4,599031517789333
8,149.14795,0,4,599031517789333
1,150.80967,1,4,599031517789375
2,149.78209,0,4,599031517789416
4,151.80114,1,4,599031517789458
5,151.25071,1,4,599031517789458
7,150.65570,0,4,599031517789500
8,148.99416,0,4,599031517789541
2,149.45025,0,4,599031517789625
3,150.23714,0,4,599031517789625
4,152.01521,1,4,599031517789666
8,148.98314,0,4,599031517789708
0,148.04776,0,4,599031517789750
1,150.55334,0,4,599031517789791
2,149.16729,0,4,599031517789791
4,152.77298,1,4,599031517789833
7,152.59210,1,4,599031517789875
8,148.66252,0,4,599031517789916
0,147.52898,0,4,599031517789958
2,148.67952,0,4,599031517790000
3,151.23327,1,4,599031517790041
4,153.55721,1,4,599031517790083
9,150.18162,0,4,599031517790125
0,146.80570,0,4,599031517790166
4,153.93103,1,4,599031517790291
5,150.53125,0,4,599031517790333
7,152.36937,0,4,599031517790375
9,149.86868,0,4,599031517790458
1,149.44158,0,4,599031517790458
3,150.96299,0,4,599031517790500
6,152.18738,1,4,599031517790583
7,150.83428,0,4,599031517790583
0,148.47635,1,4,599031517790625
1,149.18956,0,4,599031517790666
4,153.46736,0,4,599031517790666
9,150.93964,1,4,599031517790791
1,148.39645,0,4,599031517790833
2,149.28790,1,4,599031517790875
3,151.61762,1,4,599031517790875
8,149.93083,0,4,599031517791000
9,151.20011,1,4,599031517791000
1,148.23189,0,4,599031517791041
2,149.63898,1,4,599031517791083
5,150.87519,1,4,599031517791125
6,152.50466,1,4,599031517791166
1,148.10603,0,4,599031517791250
8,150.72510,1,4,599031517791375
0,147.66862,0,4,599031517791416
5,149.47902,0,4,599031517791458
3,149.90988,0,4,599031517791583
5,149.26233,0,4,599031517791583
7,152.40244,1,4,599031517791625
0,149.08410,1,4,599031517791708
1,146.70512,0,4,599031517791708
7,152.64010,1,4,599031517791791
8,151.21351,1,4,599031517791833
1,146.01708,1,6,599031517791916
2,149.75447,1,4,599031517791958
3,150.30527,1,4,599031517791958
4,154.02098,0,4,599031517792000
7,153.41534,1,4,599031517792083
8,151.90451,1,4,599031517792125
9,149.33316,0,4,599031517792166
1,146.01384,1,6,599031517792208
3,150.66692,1,4,599031517792250
4,153.52470,0,4,599031517792291
7,153.94630,1,4,599031517792333
8,152.62538,1,4,599031517792375
9,149.22641,0,4,599031517792375
1,145.89123,1,6,599031517792416
2,149.39591,0,4,599031517792458
3,151.33951,1,4,599031517792500
4,153.42781,0,4,599031517792500
6,153.40721,1,4,599031517792583
9,148.61530,0,4,599031517792625
0,149.17858,0,4,599031517792666
1,145.78972,0,4,599031517792708
2,148.63758,0,4,599031517792708
5,148.47423,0,4,599031517792791
7,153.23768,0,4,599031517792833
0,148.89731,0,4,599031517792916
1,144.67502,1,6,599031517792916
3,150.24293,0,4,599031517792958
4,155.08944,1,4,599031517793000
5,147.94324,0,4,599031517793041
6,152.28592,0,4,599031517793083
8,152.66213,1,4,599031517793125
9,149.06844,1,4,599031517793125
1,144.93848,1,2,599031517793208
2,149.77372,1,4,599031517793250
3,149.64390,0,4,599031517793250
5,147.62424,0,4,599031517793291
6,152.06927,0,4,599031517793916
9,149.44114,1,4,599031517793916
1,144.87279,1,2,599031517794000
2,150.15600,1,4,599031517794041
4,154.64112,0,4,599031517794041
6,151.55427,0,4,599031517794125
7,153.29995,0,4,599031517794125
8,152.27731,0,4,599031517794166
0,149.11135,0,4,599031517794208
1,144.82000,1,6,599031517794208
4,154.40511,0,4,599031517794291
6,151.25870,0,4,599031517794333
7,153.21572,0,4,599031517794375
9,148.67468,0,4,599031517794416
0,148.90051,0,4,599031517794458
2,149.48629,0,4,599031517794458
4,154.24314,0,4,599031517794500
7,152.90664,0,4,599031517794583
8,153.61473,0,6,599031517794625
9,148.42542,0,4,599031517794666
0,148.10601,0,4,599031517794708
1,144.84718,1,2,599031517794750
2,149.32179,0,4,599031517794750
5,149.29065,1,4,599031517794833
6,151.96051,1,4,599031517794875
1,144.41707,1,6,599031517794958
5,149.71234,1,4,599031517795041
7,153.91403,1,4,599031517795125
8,153.87318,0,2,599031517795166
2,150.06015,1,4,599031517795250
3,150.22344,1,4,599031517795291
4,153.94034,0,4,599031517795333
5,149.78304,1,4,599031517795375
6,151.31734,0,4,599031517795375
7,153.93608,1,4,599031517795416
8,154.16845,0,6,599031517795458
9,147.83269,0,4,599031517795458
0,147.96756,0,4,599031517795500
5,149.83945,1,4,599031517795625
7,154.04758,1,4,599031517795666
8,155.14679,0,6,599031517795708
9,147.62652,0,4,599031517795750
3,148.67492,0,4,599031517795833
6,152.19813,1,4,599031517795916
8,154.66897,0,2,599031517795958
5,148.61249,0,4,599031517796125
6,152.26755,1,4,599031517796125
7,153.62529,0,4,599031517796166
8,154.60281,0,6,599031517796208
0,148.01564,0,4,599031517796291
3,149.27845,1,4,599031517796333
6,152.34759,1,4,599031517796375
7,153.35051,0,4,599031517796416
8,154.81116,0,2,599031517796458
3,149.44961,1,4,599031517796541
6,153.23370,1,4,599031517796625
7,152.65563,0,4,599031517796625
8,154.86205,0,6,599031517796666
9,149.25114,1,4,599031517796708
1,144.92912,0,4,599031517796750
2,149.59977,0,4,599031517796791
4,154.09258,1,4,599031517796833
6,153.87735,1,4,599031517796916
7,152.25464,0,4,599031517796916
8,154.98975,0,6,599031517796958
9,149.42020,1,4,599031517797000
1,144.17099,0,4,599031517797041
3,148.19481,0,4,599031517797083
4,154.29649,1,4,599031517797125
5,148.29465,1,4,599031517797166
6,154.61660,1,4,599031517797166
7,151.65771,0,4,599031517797208
9,149.77272,1,4,599031517797250
0,148.58401,1,4,599031517797291
1,143.52422,1,6,599031517797333
2,149.91351,1,4,599031517797375
5,148.42716,1,4,599031517797416
6,154.85346,1,4,599031517797458
9,150.08178,1,4,599031517797500
4,154.04763,0,4,599031517797583
6,155.11488,1,4,599031517797625
9,150.24057,1,4,599031517797666
0,147.13068,0,4,599031517797708
1,143.71053,1,4,599031517797750
4,153.90594,0,4,599031517797791
5,147.56636,0,4,599031517797833
7,151.51558,0,4,599031517797875
9,150.95964,1,4,599031517797916
1,144.37270,1,4,599031517798000
2,150.91449,1,4,599031517798000
3,148.87816,1,4,599031517798041
6,153.73353,0,4,599031517798083
7,151.32979,0,4,599031517798083
8,154.45542,1,4,599031517798125
0,147.97582,1,4,599031517798166
2,151.30519,1,4,599031517798208
4,154.97998,1,4,599031517798250
6,153.22492,0,4,599031517798291
0,148.16200,1,4,599031517798375
1,143.03360,0,4,599031517798375
2,151.30722,1,4,599031517798416
4,155.74265,1,4,599031517798458
7,152.14380,1,4,599031517798500
8,154.00748,0,4,599031517798541
0,148.81202,1,4,599031517798583
3,149.39036,1,4,599031517798625
4,156.62343,1,4,599031517798625
6,153.57171,1,4,599031517798708
8,153.88642,0,4,599031517798708
2,150.57637,0,4,599031517798791
7,151.25536,0,4,599031517798875
2,150.32797,0,4,599031517799000
3,148.70144,0,4,599031517799000
4,155.54513,0,4,599031517799041
6,152.52160,0,4,599031517799083
7,150.87602,0,4,599031517799125
9,150.67065,0,4,599031517799166
0,148.91424,1,4,599031517799166
1,143.29925,1,4,599031517799208
2,149.71501,0,4,599031517799250
4,155.44704,0,4,599031517799291
7,150.61980,0,4,599031517799333
0,149.83291,1,4,599031517799416
1,143.39263,1,4,599031517799416
7,150.43281,0,4,599031517799541
